frame,components,mse,size_bytes,frame_complexity,raw_size_bytes,pict_type
0,0,0.0,150528,26272,150528,I
0,4,416.52585819829255,4040,26272,150528,I
0,20,361.92279173992574,7629,26272,150528,I
0,36,377.7506785467267,11218,26272,150528,I
0,52,334.10635348409414,14807,26272,150528,I
0,68,356.686808669474,18396,26272,150528,I
0,84,331.366652995348,21985,26272,150528,I
0,100,297.0988680724986,25574,26272,150528,I
0,116,242.10896426229738,29163,26272,150528,I
0,132,203.2704547746107,32752,26272,150528,I
0,148,172.30703993118368,36341,26272,150528,I
0,164,147.1863210084848,39930,26272,150528,I
0,180,148.88346372172236,43519,26272,150528,I
0,196,133.32280974718742,47108,26272,150528,I
0,212,143.88992961030453,50697,26272,150528,I
0,228,121.90249331470113,54286,26272,150528,I
0,244,116.25729624938685,57875,26272,150528,I
0,260,113.20008361071814,61464,26272,150528,I
0,276,104.91204300778918,65053,26272,150528,I
0,292,104.92887847940437,68642,26272,150528,I
0,308,95.91637513367459,72231,26272,150528,I
0,324,89.39205456990749,75820,26272,150528,I
0,340,85.55855560989585,79409,26272,150528,I
0,356,84.14078028872609,82998,26272,150528,I
0,372,73.20594465709291,86587,26272,150528,I
1,0,0.0,150528,948,150528,P
1,4,416.5369405411184,4040,948,150528,P
1,20,361.92697032820433,7629,948,150528,P
1,36,377.7515263762325,11218,948,150528,P
1,52,334.11141018150374,14807,948,150528,P
1,68,356.68956411536783,18396,948,150528,P
1,84,331.3672585878521,21985,948,150528,P
1,100,297.1061654621735,25574,948,150528,P
1,116,242.10493707214482,29163,948,150528,P
1,132,203.26866827672347,32752,948,150528,P
1,148,172.3058136063628,36341,948,150528,P
1,164,147.1912868670188,39930,948,150528,P
1,180,148.87124589295126,43519,948,150528,P
1,196,133.30347620649263,47108,948,150528,P
1,212,143.89335120795295,50697,948,150528,P
1,228,121.90245546516962,54286,948,150528,P
1,244,116.26208043016959,57875,948,150528,P
1,260,113.20152189291548,61464,948,150528,P
1,276,104.91133900650311,65053,948,150528,P
1,292,104.9357216747012,68642,948,150528,P
1,308,95.91707156505436,72231,948,150528,P
1,324,89.40163807128556,75820,948,150528,P
1,340,85.55517943168525,79409,948,150528,P
1,356,84.1496900684433,82998,948,150528,P
1,372,73.20440796611365,86587,948,150528,P
2,0,0.0,150528,84,150528,P
2,4,416.5369405411184,4040,84,150528,P
2,20,361.92697032820433,7629,84,150528,P
2,36,377.7515263762325,11218,84,150528,P
2,52,334.11141018150374,14807,84,150528,P
2,68,356.68956411536783,18396,84,150528,P
2,84,331.3672585878521,21985,84,150528,P
2,100,297.1061654621735,25574,84,150528,P
2,116,242.10493707214482,29163,84,150528,P
2,132,203.26866827672347,32752,84,150528,P
2,148,172.3058136063628,36341,84,150528,P
2,164,147.1912868670188,39930,84,150528,P
2,180,148.87124589295126,43519,84,150528,P
2,196,133.30347620649263,47108,84,150528,P
2,212,143.89335120795295,50697,84,150528,P
2,228,121.90245546516962,54286,84,150528,P
2,244,116.26208043016959,57875,84,150528,P
2,260,113.20152189291548,61464,84,150528,P
2,276,104.91133900650311,65053,84,150528,P
2,292,104.9357216747012,68642,84,150528,P
2,308,95.91707913496066,72231,84,150528,P
2,324,89.40163807128556,75820,84,150528,P
2,340,85.55517943168525,79409,84,150528,P
2,356,84.1496900684433,82998,84,150528,P
2,372,73.20440796611365,86587,84,150528,P
3,0,0.0,150528,84,150528,P
3,4,416.53687998186797,4040,84,150528,P
3,20,361.92697032820433,7629,84,150528,P
3,36,377.7515263762325,11218,84,150528,P
3,52,334.11141018150374,14807,84,150528,P
3,68,356.68956411536783,18396,84,150528,P
3,84,331.3672585878521,21985,84,150528,P
3,100,297.1061654621735,25574,84,150528,P
3,116,242.10493707214482,29163,84,150528,P
3,132,203.26866827672347,32752,84,150528,P
3,148,172.3058136063628,36341,84,150528,P
3,164,147.1912868670188,39930,84,150528,P
3,180,148.87124589295126,43519,84,150528,P
3,196,133.30347620649263,47108,84,150528,P
3,212,143.89335120795295,50697,84,150528,P
3,228,121.90245546516962,54286,84,150528,P
3,244,116.26208043016959,57875,84,150528,P
3,260,113.20152189291548,61464,84,150528,P
3,276,104.91133900650311,65053,84,150528,P
3,292,104.9357216747012,68642,84,150528,P
3,308,95.91707156505436,72231,84,150528,P
3,324,89.40163807128556,75820,84,150528,P
3,340,85.55517943168525,79409,84,150528,P
3,356,84.1496900684433,82998,84,150528,P
3,372,73.20440796611365,86587,84,150528,P
4,0,0.0,150528,85,150528,P
4,4,416.5369405411184,4040,85,150528,P
4,20,361.92697032820433,7629,85,150528,P
4,36,377.7515263762325,11218,85,150528,P
4,52,334.11141018150374,14807,85,150528,P
4,68,356.68956411536783,18396,85,150528,P
4,84,331.3672585878521,21985,85,150528,P
4,100,297.1061654621735,25574,85,150528,P
4,116,242.10493707214482,29163,85,150528,P
4,132,203.26866827672347,32752,85,150528,P
4,148,172.3058136063628,36341,85,150528,P
4,164,147.1912868670188,39930,85,150528,P
4,180,148.87124589295126,43519,85,150528,P
4,196,133.30347620649263,47108,85,150528,P
4,212,143.89335120795295,50697,85,150528,P
4,228,121.90245546516962,54286,85,150528,P
4,244,116.26208043016959,57875,85,150528,P
4,260,113.20152189291548,61464,85,150528,P
4,276,104.91133900650311,65053,85,150528,P
4,292,104.9357216747012,68642,85,150528,P
4,308,95.91707913496066,72231,85,150528,P
4,324,89.40163807128556,75820,85,150528,P
4,340,85.55517943168525,79409,85,150528,P
4,356,84.1496900684433,82998,85,150528,P
4,372,73.20440796611365,86587,85,150528,P
5,0,0.0,150528,84,150528,P
5,4,416.5369405411184,4040,84,150528,P
5,20,361.92700060782954,7629,84,150528,P
5,36,377.7515263762325,11218,84,150528,P
5,52,334.11141018150374,14807,84,150528,P
5,68,356.68956411536783,18396,84,150528,P
5,84,331.3672585878521,21985,84,150528,P
5,100,297.1061654621735,25574,84,150528,P
5,116,242.10493707214482,29163,84,150528,P
5,132,203.26866827672347,32752,84,150528,P
5,148,172.3058136063628,36341,84,150528,P
5,164,147.19127172720619,39930,84,150528,P
5,180,148.87124589295126,43519,84,150528,P
5,196,133.30347620649263,47108,84,150528,P
5,212,143.89335120795295,50697,84,150528,P
5,228,121.90245546516962,54286,84,150528,P
5,244,116.26208043016959,57875,84,150528,P
5,260,113.20152189291548,61464,84,150528,P
5,276,104.91133900650311,65053,84,150528,P
5,292,104.9357216747012,68642,84,150528,P
5,308,95.91707156505436,72231,84,150528,P
5,324,89.40163807128556,75820,84,150528,P
5,340,85.55517943168525,79409,84,150528,P
5,356,84.1496900684433,82998,84,150528,P
5,372,73.20440796611365,86587,84,150528,P
6,0,0.0,150528,84,150528,P
6,4,416.5369405411184,4040,84,150528,P
6,20,361.92700060782954,7629,84,150528,P
6,36,377.7515263762325,11218,84,150528,P
6,52,334.11141018150374,14807,84,150528,P
6,68,356.68956411536783,18396,84,150528,P
6,84,331.3672585878521,21985,84,150528,P
6,100,297.1061654621735,25574,84,150528,P
6,116,242.10493707214482,29163,84,150528,P
6,132,203.26866827672347,32752,84,150528,P
6,148,172.3058136063628,36341,84,150528,P
6,164,147.19127172720619,39930,84,150528,P
6,180,148.87124589295126,43519,84,150528,P
6,196,133.30347620649263,47108,84,150528,P
6,212,143.89335120795295,50697,84,150528,P
6,228,121.90245546516962,54286,84,150528,P
6,244,116.26208043016959,57875,84,150528,P
6,260,113.20152189291548,61464,84,150528,P
6,276,104.91133900650311,65053,84,150528,P
6,292,104.9357216747012,68642,84,150528,P
6,308,95.91707156505436,72231,84,150528,P
6,324,89.40163807128556,75820,84,150528,P
6,340,85.55517943168525,79409,84,150528,P
6,356,84.1496900684433,82998,84,150528,P
6,372,73.20440796611365,86587,84,150528,P
7,0,0.0,150528,84,150528,P
7,4,416.5369405411184,4040,84,150528,P
7,20,361.92697032820433,7629,84,150528,P
7,36,377.7515263762325,11218,84,150528,P
7,52,334.11141018150374,14807,84,150528,P
7,68,356.68956411536783,18396,84,150528,P
7,84,331.3672585878521,21985,84,150528,P
7,100,297.1061654621735,25574,84,150528,P
7,116,242.10493707214482,29163,84,150528,P
7,132,203.26866827672347,32752,84,150528,P
7,148,172.3058136063628,36341,84,150528,P
7,164,147.1912868670188,39930,84,150528,P
7,180,148.87124589295126,43519,84,150528,P
7,196,133.30347620649263,47108,84,150528,P
7,212,143.89335120795295,50697,84,150528,P
7,228,121.90245546516962,54286,84,150528,P
7,244,116.26208043016959,57875,84,150528,P
7,260,113.20152189291548,61464,84,150528,P
7,276,104.91133900650311,65053,84,150528,P
7,292,104.9357216747012,68642,84,150528,P
7,308,95.91707156505436,72231,84,150528,P
7,324,89.40163807128556,75820,84,150528,P
7,340,85.55517943168525,79409,84,150528,P
7,356,84.1496900684433,82998,84,150528,P
7,372,73.20440796611365,86587,84,150528,P
8,0,0.0,150528,5,150528,P
8,4,416.5369405411184,4040,5,150528,P
8,20,361.92697032820433,7629,5,150528,P
8,36,377.7515263762325,11218,5,150528,P
8,52,334.11141018150374,14807,5,150528,P
8,68,356.68956411536783,18396,5,150528,P
8,84,331.3672585878521,21985,5,150528,P
8,100,297.1061654621735,25574,5,150528,P
8,116,242.10493707214482,29163,5,150528,P
8,132,203.26866827672347,32752,5,150528,P
8,148,172.3058136063628,36341,5,150528,P
8,164,147.1912868670188,39930,5,150528,P
8,180,148.87124589295126,43519,5,150528,P
8,196,133.30347620649263,47108,5,150528,P
8,212,143.89335120795295,50697,5,150528,P
8,228,121.90245546516962,54286,5,150528,P
8,244,116.26208043016959,57875,5,150528,P
8,260,113.20152189291548,61464,5,150528,P
8,276,104.91133900650311,65053,5,150528,P
8,292,104.9357216747012,68642,5,150528,P
8,308,95.91707156505436,72231,5,150528,P
8,324,89.40163807128556,75820,5,150528,P
8,340,85.55517943168525,79409,5,150528,P
8,356,84.1496900684433,82998,5,150528,P
8,372,73.20440796611365,86587,5,150528,P
9,0,0.0,150528,184,150528,P
9,4,416.5369405411184,4040,184,150528,P
9,20,361.92700060782954,7629,184,150528,P
9,36,377.7515263762325,11218,184,150528,P
9,52,334.11141018150374,14807,184,150528,P
9,68,356.68956411536783,18396,184,150528,P
9,84,331.3672585878521,21985,184,150528,P
9,100,297.1061654621735,25574,184,150528,P
9,116,242.10493707214482,29163,184,150528,P
