frame,components,mse,size_bytes,frame_complexity,raw_size_bytes,pict_type,explained_variance
0,400,31.5755756416451,30919,521,150528,I,0.983148781209029
0,375,32.38158853169955,28991,521,150528,I,0.9814850617902512
0,350,32.93902465366321,27063,521,150528,I,0.9796402033194048
0,325,33.65204084696676,25135,521,150528,I,0.9775796139581876
0,300,34.36450921050384,23207,521,150528,I,0.9752636829816674
0,275,34.94605471550502,21280,521,150528,I,0.9726392225087962
0,250,35.514590863208056,19352,521,150528,I,0.9696390383721744
0,225,36.40068550623472,17424,521,150528,I,0.9661760617498651
0,200,36.97941966308696,15496,521,150528,I,0.9621533533406148
0,175,37.34312681298957,13568,521,150528,I,0.9573900948836606
0,150,38.04438346056829,11640,521,150528,I,0.9518127880080938
0,125,39.64998410561383,9712,521,150528,I,0.9450248763501344
0,100,41.627095737788345,7784,521,150528,I,0.936474275173904
0,75,43.43834662142131,5856,521,150528,I,0.9250017583383991
0,50,54.4334427340212,3928,521,150528,I,0.9076484459170078
0,25,56.53174476190562,2001,521,150528,I,0.8727119630210388
0,0,0.0,150528,521,150528,I,
1,400,31.5755756416451,30919,109,150528,B,0.983148781209029
1,375,32.38158853169955,28991,109,150528,B,0.9814850617902512
1,350,32.93902465366321,27063,109,150528,B,0.9796402033194048
1,325,33.65204084696676,25135,109,150528,B,0.9775796139581876
1,300,34.36450921050384,23207,109,150528,B,0.9752636829816674
1,275,34.94605471550502,21280,109,150528,B,0.9726392225087962
1,250,35.514590863208056,19352,109,150528,B,0.9696390383721744
1,225,36.40068550623472,17424,109,150528,B,0.9661760617498651
1,200,36.97941966308696,15496,109,150528,B,0.9621533533406148
1,175,37.34312681298957,13568,109,150528,B,0.9573900948836606
1,150,38.04438346056829,11640,109,150528,B,0.9518127880080938
1,125,39.64998410561383,9712,109,150528,B,0.9450248763501344
1,100,41.627095737788345,7784,109,150528,B,0.936474275173904
1,75,43.43834662142131,5856,109,150528,B,0.9250017583383991
1,50,54.4334427340212,3928,109,150528,B,0.9076484459170078
1,25,56.53174476190562,2001,109,150528,B,0.8727119630210388
1,0,0.0,150528,109,150528,B,
2,400,30.131302108446437,30919,124,150528,B,0.983148781209029
2,375,30.90259596394023,28991,124,150528,B,0.9814850617902512
2,350,31.43627349844493,27063,124,150528,B,0.9796402033194048
2,325,32.11702640046324,25135,124,150528,B,0.9775796139581876
2,300,32.79907510803797,23207,124,150528,B,0.9752636829816674
2,275,33.35353871837886,21280,124,150528,B,0.9726392225087962
2,250,33.89390978541162,19352,124,150528,B,0.9696390383721744
2,225,34.73842847403899,17424,124,150528,B,0.9661760617498651
2,200,35.27545295270947,15496,124,150528,B,0.9621533533406148
2,175,35.62273345954004,13568,124,150528,B,0.9573900948836606
2,150,36.27671336460794,11640,124,150528,B,0.9518127880080938
2,125,37.74594723161912,9712,124,150528,B,0.9450248763501344
2,100,39.56011664240064,7784,124,150528,B,0.936474275173904
